Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20190414B,CHIME,No,16:27:36.0,0.22,+57:31:48.0,0.22,87.34,41.7,506.489,37.789,30.689,https://www.chime-frb.ca/catalog
FRB20190416A,CHIME,No,09:39:57.6,0.21,+33:18:00.0,0.21,192.33,48.53,2287.265,39.165,26.565,https://www.chime-frb.ca/catalog
FRB20190420B,CHIME,No,06:18:55.2,0.16,+70:07:12.0,0.022,144.33,22.71,846.8432,67.4432,72.3432,https://www.chime-frb.ca/catalog
FRB20190425B,CHIME,No,14:00:28.8,0.1,+88:36:00.0,0.21,122.46,28.46,1031.7236,52.7236,48.8236,https://www.chime-frb.ca/catalog
FRB20190427A,CHIME,No,05:15:43.2,0.18,+07:46:12.0,0.23,194.4,-17.22,455.7828,84.9828,125.6828,https://www.chime-frb.ca/catalog
FRB20190518B,CHIME,No,11:40:26.4,0.21,+20:16:48.0,0.24,232.01,72.39,913.7722,26.0722,20.1722,https://www.chime-frb.ca/catalog
FRB20190604C,CHIME,No,05:09:33.6,0.16,+49:18:00.0,0.15,159.19,5.52,515.636,163.936,244.736,https://www.chime-frb.ca/catalog
FRB20190621B,CHIME,No,12:52:33.6,0.23,+55:38:24.0,0.23,122.6,61.49,1061.234,30.734,22.534,https://www.chime-frb.ca/catalog
FRB20190621C,CHIME,No,13:46:16.8,0.21,+05:13:48.0,0.29,336.18,64.5,570.2672,25.6672,22.4672,https://www.chime-frb.ca/catalog
FRB20190623C,CHIME,No,12:49:14.4,0.24,+86:01:48.0,0.31,122.98,31.1,1049.826,48.826,43.626,https://www.chime-frb.ca/catalog
FRB20191001A,ASKAP,No,21:33:24.41,0.05,-54:44:53.9,0.33,341.2267,-44.9039,506.92,44,31,"[https://www.astronomerstelegram.org/?read=13166, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20180907D,CHIME,No,21:55:48.0,0.29,+89:13:12.0,0.31,122.33,26.57,1447.098,55.998,53.698,https://www.chime-frb.ca/catalog
FRB20171209A,Parkes,No,15:50:25.0,,-46:10:20.0,,332.3,6.2,1457.4,,235,https://doi.org/10.1093/mnras/stz1751
FRB20180923A,CHIME,No,21:50:26.4,0.038,+71:55:12.0,0.2,109.81,13.83,219.4397,100.0397,127.2397,https://www.chime-frb.ca/catalog
FRB20181016A,UTMOST,No,15:46:20.8,0.066,-25:24:32.6,4.5,345.51,22.66,1982.8,89,,https://doi.org/10.1093/mnras/stz1748
